Open,High,Low,Close,Adj Close,Volume,Daily_Return,Log_Return,Price_Range,MA_7,MA_30,MA_90,Volatility_30,Volume_MA_30,Day_of_Week,Month,Quarter,Year,Close_Diff
89.447144,91.405716,89.328575,90.889999,78.541626,149384200,0.40241436346071247,0.0040160684252301005,2.0771409999999975,76.74227242857144,71.80977196666667,,1.4555302688535654,174408710.0,0,4,2,2012,0.314795999999987
91.418571,92.0,89.428574,89.777145,77.579979,222431300,-1.2243787771849757,-0.012319360438685402,2.5714260000000024,77.069943,72.23229520000001,,1.496062149092811,177259903.33333334,1,4,2,2012,-0.9616469999999993
90.885712,90.98143,89.048569,89.457146,77.303429,174153700,-0.3564708363739011,-0.003571077076171158,1.9328610000000026,77.53992685714285,72.60589113333332,,1.4875070596586464,178061800.0,2,4,2,2012,-0.2765500000000003
89.285713,90.190002,88.64286,88.96714,76.88002,153584200,-0.5477234392797681,-0.005492289439606665,1.547142000000008,77.61294014285714,72.93644556666666,,1.492693174235174,175247846.66666666,3,4,2,2012,-0.4234089999999924
89.158569,89.242859,86.215714,86.461426,74.714745,214911200,-2.816433970750798,-0.028568562589435968,3.02714499999999,77.18810614285714,73.18647076666667,,1.6090389332434032,176717636.66666666,4,4,2,2012,-2.1652750000000083
87.151428,87.182854,82.60714,82.875717,71.616173,262696700,-4.1472028044798765,-0.042356533870401704,4.575714000000005,76.40897171428571,73.33028866666668,,1.8078591181567036,181876590.0,0,4,2,2012,-3.09857199999999
82.705711,87.14286,81.701431,87.099998,75.266533,256382000,5.0971168202467165,0.04971465879014471,5.441428999999999,75.98607214285714,73.64524636666667,,1.9552426790546882,183679953.33333334,1,4,2,2012,3.650359999999992
87.674286,88.60714,86.101425,86.905716,75.098648,238632800,-0.22305398336867066,-0.002233031193068546,2.505714999999995,75.49421814285714,73.96654126666667,,1.9503962453708275,184882390.0,2,4,2,2012,-0.16788499999999829
85.745712,86.389999,83.502853,83.919998,72.518593,208679800,-3.435554525562168,-0.034959571790887,2.8871460000000013,74.771163,74.2000651,,2.0766182175956107,185184043.33333334,3,4,2,2012,-2.5800550000000015
84.482857,84.945717,81.488571,81.854286,70.733521,257746300,-2.46153700196583,-0.024923393488384262,3.4571460000000087,73.83260471428571,74.3275879,,2.110614185277987,189471776.66666666,4,4,2,2012,-1.7850719999999995
81.515717,82.381432,79.517143,81.671425,70.575485,241632300,-0.2234244779077188,-0.0022367444278558026,2.8642889999999994,72.93195685714285,74.43675613333333,,2.1107702098552767,194035193.33333334,0,4,2,2012,-0.15803599999999562
80.372856,81.098572,79.285713,80.040001,69.165718,269037300,-1.9975307289776367,-0.020177510991864187,1.812859000000003,72.13923871428571,74.47082900000001,,2.1370594530282663,199609083.33333334,1,4,2,2012,-1.4097670000000022
87.94857,88.285713,86.571426,87.14286,75.303566,226444400,8.874118822853848,0.08502215567631316,1.7142869999999988,72.66600914285713,74.64324620000001,,2.6303949261316975,201400103.33333334,2,4,2,2012,6.137848000000005
87.752853,87.812859,86.01857,86.814285,75.019646,134017100,-0.37703393754289216,-0.0037774650213061667,1.7942890000000062,72.63073957142856,74.71780903333334,,2.5472544995967232,194043640.0,3,4,2,2012,-0.28392000000000905
86.438568,86.597145,85.785713,86.14286,74.43943,101680600,-0.7734187388727443,-0.007764251329767948,0.8114319999999964,72.53656557142857,74.78957390000001,,2.5483173613593553,187768676.66666666,4,4,2,2012,-0.580215999999993
85.400002,85.485718,83.285713,83.425713,72.091446,126536200,-3.1542208208740985,-0.032050378095340386,2.2000050000000044,72.47554457142857,74.78303120000001,,2.6179235633681905,185107486.66666666,0,4,2,2012,-2.3479839999999967
83.557144,85.251427,83.03286,83.16143,71.863052,152749800,-0.31681151186786494,-0.003173144220038301,2.2185670000000073,72.63690614285714,74.70497053333332,,2.570815822139977,182688846.66666666,1,5,2,2012,-0.22839400000000865
82.891426,83.914284,82.694283,83.711426,72.338333,106847300,0.6613704633641415,0.0065919300435613734,1.2200009999999963,72.88874157142858,74.62275389999999,,2.569210662044764,179444906.66666666,2,5,2,2012,0.4752810000000096
